Year,H.S Code,Commodity Description,Country,Value (S.R),Weight (kg)
2017,8041021,STORED DATES,PALESTINE,191571.0,"86,739"
2017,8041021,STORED DATES,QATAR,23873141.0,"2,967,822"
2017,8041021,STORED DATES,KAZAKHSTAN,20000.0,"3,000"
2017,8041021,STORED DATES,CANADA,5240729.0,"617,764"
2017,8041021,STORED DATES,CUBA,6000.0,980
2017,8041021,STORED DATES,SOUTH KOREA,3000.0,"2,000"
2017,8041021,STORED DATES,KENYA,75400.0,"4,994"
2017,8041021,STORED DATES,LEBANON,2482155.0,"420,553"
2017,8041021,STORED DATES,MALI,30000.0,"2,342"
2017,8041021,STORED DATES,MALAYSIA,5933749.0,"356,572"
2017,8041021,STORED DATES,MADAGASCAR,88620.0,"47,152"
2017,8041021,STORED DATES,EGYPT,2156738.0,"220,127"
2017,8041021,STORED DATES,MAURITANIA,2336899.0,"456,504"
2017,8041021,STORED DATES,MONACO,750.0,52
2017,8041021,STORED DATES,NIGERIA,53800.0,"9,585"
2017,8041021,STORED DATES,NICARAGUA,1637700.0,"309,000"
2017,8041021,STORED DATES,NEW ZEALAND,7350.0,"6,056"
2017,8041021,STORED DATES,NETHERLANDS,1152685.0,"217,180"
2017,8041021,STORED DATES,HONG KONG,3432.0,175
2017,8041021,STORED DATES,HONDURAS,1590000.0,"300,000"
2017,8041029,OTHER DATES,JORDAN,43700.0,"19,600"
2017,8041029,OTHER DATES,UNITED ARAB EMIRATES,65987409.0,"15,570,779"
2017,8041029,OTHER DATES,BAHRAIN,164670.0,"6,999"
2017,8041029,OTHER DATES,BOSNIA & HERZEGOVINA,302381.0,"42,250"
2017,8041029,OTHER DATES,CZECH REPUBLIC,10402.0,"1,328"
2017,8041029,OTHER DATES,IRAQ,18596.0,"2,949"
2017,8041029,OTHER DATES,KUWAIT,18554572.0,"3,301,434"
2017,8041029,OTHER DATES,UNITED KINGDOM,12295.0,"1,101"
2017,8041029,OTHER DATES,GREECE,10402.0,"1,328"
2017,8041029,OTHER DATES,UKRAINE,8284.0,917
2017,8041029,OTHER DATES,PAKISTAN,42262.0,"11,270"
2017,8041029,OTHER DATES,BRUNEI DARUSSALAM,21004.0,"3,360"
2017,8041029,OTHER DATES,PERU,7706.0,905
2017,8041029,OTHER DATES,TURKEY,1003600.0,"295,088"
2017,8041029,OTHER DATES,COMOROS,10114.0,"1,316"
2017,8041029,OTHER DATES,SOMALIA,98747.0,"16,500"
2017,8041029,OTHER DATES,SOUTH AFRICA,414708.0,"16,967"
2017,8041029,OTHER DATES,RUSSIAN FEDERATION,14644.0,"2,150"
2017,8041029,OTHER DATES,COTE D'IVOIRE,24668.0,"4,182"
2017,8041029,OTHER DATES,SAO TOME AND PRINCIPE,28905.0,"4,993"
2017,8041029,OTHER DATES,SULTANATE OF OMAN,4056290.0,"960,423"
2017,8041029,OTHER DATES,GUINEA,20426.0,"3,360"
2017,8041029,OTHER DATES,FRANCE,5450.0,418
2017,8041029,OTHER DATES,FINLAND,8284.0,917
2017,8041029,OTHER DATES,QATAR,60862.0,"1,576"
2017,8041029,OTHER DATES,CANADA,5360.0,190
2017,8041029,OTHER DATES,LEBANON,1582066.0,"215,652"
2017,8041029,OTHER DATES,EGYPT,81500.0,"25,500"
2017,8041029,OTHER DATES,NIGERIA,28350.0,"8,000"
2017,8041029,OTHER DATES,NEW ZEALAND,7706.0,905
2017,8041029,OTHER DATES,NETHERLANDS,8284.0,917
2018,8041010,FRESH DATES,ETHIOPIA,729535.0,"1,226,230"
